SectionOrder,ExternalId,Drug,Type,TypeSub,Value,SectionSubOrder
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868345800,1006
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868374500,1007
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868470900,1008
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54979067601,1009
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55045341701,1010
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55081540200,1011
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55175105501,1012
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55289019201,1013
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55422040208,1014
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55422040308,1015
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55422040608,1016
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55422040708,1017
2,DNX0344,Multivitamins with Minerals,NDC,NDC,55887008213,1018
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394038852,1019
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394040830,1020
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394040848,1021
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394042248,1022
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394044252,1023
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394044256,1024
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394044530,1025
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394044544,1026
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394045852,1027
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394046444,1028
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394046652,1029
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394046656,1030
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394046844,1031
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394047044,1032
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394051030,1033
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394051244,1034
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394051838,1035
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394052452,1036
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394052644,1037
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394055544,1038
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57394055552,1039
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57480020801,1040
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57480020806,1041
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57480047801,1042
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57480047806,1043
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57771001013,1044
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57771001048,1045
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57779010504,1046
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57779010506,1047
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57893020360,1048
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896050101,1049
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896050110,1050
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896050508,1051
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896053208,1052
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896054916,1053
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896060101,1054
2,DNX0344,Multivitamins with Minerals,NDC,NDC,57896086206,1055
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58016034299,1056
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000400,1057
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000401,1058
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000406,1059
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000408,1060
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000409,1061
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000411,1062
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000415,1063
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000416,1064
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58204000418,1065
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58469034423,1066
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58469035463,1067
